Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICGC_0115,0.181088582,0,0.013985974,0.167816384,0.139642539,0,0,0,0.037173167,0,0,0.063760079,0.018529277,0.321735722,0.015418597,0.172920794,0.005771257,0,0.400707695,0,0.016815635,0,0,0.51381239,0.862126707,1.555365701
ICGC_0066,0.016831506,0,0.001560558,0.464892039,0,0.002116978,0,0,0.060848426,0,0,0.119943059,0.038049377,0.076539633,0,0.027786323,0.048494508,0,0.411304095,0,0,0,0,0.383313177,0.931036823,1.268366501
ICGC_0124,0.269206535,0,0.028462042,0.148856326,0.145430558,0,0.012595519,0.037011103,0.082967915,0,0,0.067174605,0.005715077,0.051013097,0.05460319,0.136737426,0.091590458,0,0.402189239,0,0.012441729,0,0,0.406084461,0.913095581,1.545994819
ICGC_0392,0.015436374,0.014690577,0,0.276378427,0.045550774,0,0,0,0.104421036,0,0,0.105830943,0.009787275,0.543347966,0.039982077,0.116340991,0,0.00606706,0.461543719,0,0.012878576,0.003232821,0,0.639843705,0.787303868,1.755488617
ICGC_0393,0,0.071064905,0.007321346,0.205342035,0,0,0,0.039042734,0.092342341,0,0,0.061721745,0.003664792,0.137572538,0.029783116,0.165944035,0.023300403,0.019593246,0.420930543,0.042151402,0.078823204,0.054273111,0,0.423764974,0.905032428,1.452871496
ICGC_0067,0.045851916,0,0.009451806,0.162049703,0.067291572,0.064191943,0,0,0,0,0,0.084100807,0.053368453,0.163460838,0.010842324,0.317303331,0.088630785,0,0.548753823,0,0.106192243,0.092506034,0,0.547755494,0.84626567,1.813995578
ICGC_0134,0.088391904,0,0,0.138621215,0.074600702,0,0,0,0.08541176,0,0.022286827,0.025856391,0.044283749,0.107073483,0.014344357,0.294942237,0.029739464,0.014297624,0.509919048,0,0.043172269,0.009520497,0,0.39246683,0.920026068,1.502461528
ICGC_0135,0,0.059652316,0.000823691,0.271947416,0.147785044,0.016588318,0,0,0.06474549,0,0,0.131901653,0.029640353,0.13445482,0.020008679,0.027752351,0.045752048,0,0.426736252,0,0.016532459,0,0,0.329519189,0.952139097,1.39432089
ICGC_0139,0.028388263,0,0.004506272,0.604848209,0.010896591,0,0,0,0.003987206,0,0,0.079847968,0.049744952,0.03675453,0.000957496,0,0.090269694,0,0.372027655,0,0.015090495,0,0,0.300589137,0.97681119,1.297319332
ICGC_0140,0.119385011,0,0.037741894,0.491733674,0,0,0,0,0.028515696,0,0,0.107728721,0.034363992,0.004054264,0.013509467,0.033653751,0.050914355,0,0.581326941,0,0,0,0,0.298191003,0.975861175,1.502927766
ICGC_0141,0,0.064213337,0,0.305117855,0.031580761,0,0,0,0.032310981,0,0,0.081378628,0.020825175,0.154453552,0.021158195,0.009376868,0,0,0.418617768,0,0,0,0,0.368049255,0.936082089,1.13903312
ICGC_0143,0.000769525,0,0.024596649,0.233788125,0,0.008689527,0,0,0.079924585,0,0,0.06839814,0.181059391,0.253299366,0.032553983,0.269494329,0.144504991,0,0.389345076,0,0.063130551,0,0,0.342114722,0.94109984,1.749554238
ICGC_0144,0.1331388,0,0.021306524,0.1488737,0.063326921,0,0.058069849,0.009692915,0.101335609,0,0.023967936,0.016902461,0.013825085,0.073028771,0.095978554,0.499154638,0.07905784,0,0.390390063,0,0,0,0,0.511574491,0.867135402,1.728049666
ICGC_0146,0.022718169,0,0.005300972,0.537192738,0,0,0,0,0.084206036,0,0,0.080758687,0.04130166,0.053877117,0.008814095,0.203289959,0.008543378,0,0.351269218,0,0,0,0,0.304912457,0.96587416,1.39727203
ICGC_0149,0.20326512,0,0.025152425,0.137984305,0.261817474,0.04888774,0,0,0,0,0,0.090085304,0.014667751,0.277285348,0.026681699,0,0.115689833,0,0.588004325,0,0.00269418,0.033922565,0,0.340312947,0.944292146,1.826138071
ICGC_0150,0.206240585,0,0.0215643,0.26524801,0.1084569,0,0,0.026249216,0.063935803,0,0,0.166645785,0.03792138,0.076690765,0.007631024,0.02857494,0.016746156,0,0.345584667,0,0.013262437,0,0.01,0.21698959,1.007164088,1.384751969
ICGC_0153,0.05994803,0,0.007398594,0.220714079,0.049696072,0,0,0.011126942,0.110806354,0,0,0.136811002,0.02333378,0.054408715,0.019248867,0.145690832,0.103103639,0.038238837,0.408764263,0,0,0,0,0.387393547,0.921965756,1.389290006
ICGC_0169,0.005810964,0,0.010895332,0.393503364,0,0.013002849,0,0,0.061868956,0,0,0.11288796,0.039171773,0.044126372,0.034620746,0.070400885,0.053816977,0,0.480858935,0,0,0,0,0.408374078,0.915394647,1.320965113
ICGC_0185,0.023682725,0,0,0.373769747,0.058937275,0,0,0,0.02633934,0,0,0.113263118,0.067887872,0.081472557,0.001794003,0.089765782,0.023461347,0.002227986,0.352821704,0,0,0,0,0.394178191,0.92146883,1.215423456
ICGC_0188,0.041744136,0,0,0.186347011,0.015165107,0,0,0,0.090196404,0,0,0.060729877,0,0.645091388,0.037920413,0.111812595,0.005682067,0,0.427264037,0,0,0,0,0.563886237,0.827812672,1.621953035
